"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 13:35:30 GMT 2022","Tue Dec 13 13:35:42 GMT 2022","11855","","Verify Menu","","","","Verify SubMenu items in  Content management",""
"passed","Tue Dec 13 13:35:06 GMT 2022","Tue Dec 13 13:35:18 GMT 2022","11812","","Verify Menu","","","","Verify SubMenu items in  Customers",""
"passed","Tue Dec 13 13:34:54 GMT 2022","Tue Dec 13 13:35:06 GMT 2022","11950","","Verify Menu","","","","Verify SubMenu items in  Sales",""
"skipped","Tue Dec 13 13:34:49 GMT 2022","Tue Dec 13 13:34:49 GMT 2022","1","","Visit","","","","Verify Cy visit PageLoadTimeOut options",""
"passed","Tue Dec 13 13:34:58 GMT 2022","Tue Dec 13 13:34:59 GMT 2022","707","","Assertions Demo","","","","Assert empty and property",""
"passed","Tue Dec 13 13:35:42 GMT 2022","Tue Dec 13 13:35:54 GMT 2022","11926","","Verify Menu","","","","Verify SubMenu items in  Configuration",""
"failed","Tue Dec 13 13:35:08 GMT 2022","Tue Dec 13 13:35:16 GMT 2022","8151","","Verify URLS","","","","Check URL",""
"skipped","Tue Dec 13 13:34:49 GMT 2022","Tue Dec 13 13:34:49 GMT 2022","0","","Visit","","","","Cy visit with post options",""
"passed","Tue Dec 13 13:36:06 GMT 2022","Tue Dec 13 13:36:17 GMT 2022","11717","","Verify Menu","","","","Verify SubMenu items in  Reports",""
"passed","Tue Dec 13 13:35:54 GMT 2022","Tue Dec 13 13:36:06 GMT 2022","12002","","Verify Menu","","","","Verify SubMenu items in  System",""
"passed","Tue Dec 13 13:35:08 GMT 2022","Tue Dec 13 13:35:37 GMT 2022","29434","","Actions Demo","","","","Working with SelectDropdowns",""
"passed","Tue Dec 13 13:34:56 GMT 2022","Tue Dec 13 13:35:07 GMT 2022","11599","","Login Test","","","","Login Using Custom Command",""
"passed","Tue Dec 13 13:34:49 GMT 2022","Tue Dec 13 13:35:02 GMT 2022","12784","","Navigation","","","","Verify go back or forward in the browser's history",""
"passed","Tue Dec 13 13:36:09 GMT 2022","Tue Dec 13 13:36:27 GMT 2022","17793","","Nop Commerce Admin Module","","","","Admin Login Test",""
"passed","Tue Dec 13 13:34:24 GMT 2022","Tue Dec 13 13:34:30 GMT 2022","6179","","Assertions Demo","","","","Text equal check",""
"passed","Tue Dec 13 13:35:18 GMT 2022","Tue Dec 13 13:35:30 GMT 2022","11983","","Verify Menu","","","","Verify SubMenu items in  Promotions",""
"passed","Tue Dec 13 13:35:37 GMT 2022","Tue Dec 13 13:35:49 GMT 2022","12124","","Actions Demo","","","","Working with Select/ Dropdowns",""
"passed","Tue Dec 13 13:34:26 GMT 2022","Tue Dec 13 13:34:44 GMT 2022","17429","","Actions Demo","","","","Type in to element",""
"skipped","Tue Dec 13 13:34:49 GMT 2022","Tue Dec 13 13:34:49 GMT 2022","0","","Visit","","","","Verify Cy visit Basic Auth options",""
"passed","Tue Dec 13 13:34:31 GMT 2022","Tue Dec 13 13:34:33 GMT 2022","1953","","Assertions Demo","","","","Visibility Check",""
"skipped","Tue Dec 13 13:34:49 GMT 2022","Tue Dec 13 13:34:49 GMT 2022","0","","Visit","","","","Verify cy.visit for Platform",""
"passed","Tue Dec 13 13:34:56 GMT 2022","Tue Dec 13 13:35:08 GMT 2022","12081","","Actions Demo","","","","Working with checkboxes",""
"passed","Tue Dec 13 13:34:38 GMT 2022","Tue Dec 13 13:34:45 GMT 2022","6738","","Assertions Demo","","",""," Verify Length , List of Elements",""
"failed","Tue Dec 13 13:34:34 GMT 2022","Tue Dec 13 13:34:54 GMT 2022","19378","","Verify Menu","","","","Verify SubMenu items in  Catalog",""
"passed","Tue Dec 13 13:35:03 GMT 2022","Tue Dec 13 13:35:06 GMT 2022","3357","","Navigation","","","","Verify - reload the page",""
"failed","Tue Dec 13 13:36:17 GMT 2022","Tue Dec 13 13:36:24 GMT 2022","6289","","Verify Menu","","","","Network failure",""
"passed","Tue Dec 13 13:34:45 GMT 2022","Tue Dec 13 13:34:58 GMT 2022","12890","","Assertions Demo","","","","Assert check uncheck",""
"passed","Tue Dec 13 13:34:49 GMT 2022","Tue Dec 13 13:34:49 GMT 2022","768","","Visit","","","","Verify Cy visit Fail On Status Code options",""
"passed","Tue Dec 13 13:34:33 GMT 2022","Tue Dec 13 13:34:38 GMT 2022","5790","","Assertions Demo","","",""," CSS Verification",""
